timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734001932313,280, Request 9,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1734001932597,308, Request 3,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1734001932907,108, Request 1,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1734001933017,220, Request 8,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1734001933238,184, Request 10,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
